Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	rchacv_.avg_log2FC	rchacv_.p_adj	rchacv_.gene
KMT2C	0.631038419099462	1.01675567638957e-05	Kmt2c	0.046379704650776	0.00223691360391797	KMT2C
LGALS3BP	3.50938091612868	8.19410511171307e-41	Lgals3bp	0.228594131404815	6.21900954727113e-38	LGALS3BP
LY75	1.43325991118009	2.26164341993225e-28	Ly75	0.0396834663234887	0.000863956340738151	LY75
MYC	-0.709956559291611	6.87890391393318e-06	Bmyc	0.075846127702063	0.00469370674447063	MYC
MYCBP2	0.730955450688804	1.99676906470496e-07	Mycbp2	0.0362145699220442	0.00525449724284218	MYCBP2
NCF1	1.77850982207694	2.42869668216392e-15	Ncf1	0.0826968956650033	3.53075012245377e-13	NCF1
NKG7	4.15878638467974	8.59412430703021e-10	Nkg7	0.211525123905039	1.36636932571144e-29	NKG7
NLRC5	1.21031293535767	1.73447758851513e-17	Nlrc5	0.131987344634386	5.34464115260072e-17	NLRC5
NMI	0.596867355552626	9.38645778929135e-06	Nmi	0.104135716970486	2.23566016022345e-09	NMI
NQO1	-0.83333968348109	0.00137785993249583	Nqo1	0.0355722837254933	0.0032623980806205	NQO1
OAS1	3.34664726577589	1.81900546298935e-07	Oas1a	0.0156617973949338	0.00814699929959111	OAS1
OAS3	1.9551709822633	1.2980342541287e-05	Oas3	0.0338204036953434	0.000331038773859787	OAS3
PARP12	2.06596657869794	0.00545421792803505	Parp12	0.0326240857582242	0.00171959821323798	PARP12
PARP14	1.14152714310883	2.24274905613814e-08	Parp14	0.178247193152368	1.17165703399819e-20	PARP14
PARP9	0.652271840599296	6.95937922375463e-06	Parp9	0.089730998600126	3.66399662409842e-11	PARP9
PEPD	-0.784598207855098	4.1619693421332e-05	Pepd	0.0311950230620432	0.00297182657425995	PEPD
PHF11	1.29373489757565	8.21054003708002e-16	Phf11b	0.0213023438255723	0.0172607829777217	PHF11
PLSCR1	1.50694180566828	0.00178743120294658	Plscr2	0.0454609992640646	0.00345747131401574	PLSCR1
PRF1	2.58781567220692	4.71582518972811e-07	Prf1	0.0428354188307735	3.85155284561614e-12	PRF1
PRG2	2.50997352147559	0.00273712919042632	Prg2	-0.0457341669399264	0.0037134512804557	PRG2
PTK2	-0.856689491746521	3.63114535274963e-06	Ptk2	0.0321110866648874	0.0087753673864915	PTK2
RAB34	-2.37427046080522	0.00120301585051264	Rab34	0.0187901388479752	0.00989577563602128	RAB34
RASAL1	-0.705172534374193	0.00400295276496929	Rasal1	0.0181115090725558	0.0498790236217349	RASAL1
RBM19	0.822978128420527	0.00353072855422887	Rbm19	0.0221869011445865	0.0399224898532162	RBM19
RC3H2	0.581722368454478	6.50121713669033e-05	Rc3h2	0.0255469284963885	0.0379934829829776	RC3H2
RNF213	2.76900531971629	0.00010493780182592	Rnf213	0.0733862305782828	1.25531849991172e-06	RNF213
RSPH9	0.886589355649097	4.28744935070365e-06	Rsph9	0.004267936000718	0.038958973056665	RSPH9
RTP4	2.95544385003119	6.13732439285593e-13	Rtp4	0.0402519665339025	0.00018137838632609	RTP4
S100A4	2.42671099502343	4.32069019080145e-06	S100a4	-0.164025902033873	0.00101381386746967	S100A4
SIRPA	-1.54985398967515	0.0011171905645715	Sirpa	0.0175824871669815	0.042369191250346	SIRPA
STAT1	2.14120532741806	2.39007195155426e-31	Stat1	0.398902444378064	7.04279188083986e-84	STAT1
SYNE1	0.694586446531813	0.0225019686984056	Syne1	0.0298037793569673	0.0134641713659036	SYNE1
TAP1	0.752422727086458	1.37679584519943e-15	Tap1	0.373805034376503	2.50602108849672e-89	TAP1
TK1	-0.718843122011909	5.07210493668376e-05	Tk1	0.11169106202409	8.76828747173317e-09	TK1
TMEM106C	-1.02086273255983	0.000683563542631438	Tmem106c	0.0187410155006998	0.014896884677546	TMEM106C
TMSB15A	2.72270942916938	0.0110840832539252	Tmsb15a	-0.122969794297062	0.0422812789341461	TMSB15A
TNFSF10	1.36929173603581	3.3579164517319e-08	Tnfsf10	0.0131167383192322	0.0242026689199456	TNFSF10
TRIM13	-0.588608261594209	0.0435704890559993	Trim13	0.071057184433879	3.81776122527148e-06	TRIM13
TRIM21	0.74022059959281	0.000320332681555403	Trim21	0.0254241447927163	0.0127906489206045	TRIM21
TSC22D1	-0.681844972187902	1.18145324952126e-06	Tsc22d1	0.0314864558900465	0.0450435578128519	TSC22D1
TSPAN3	0.688327052356067	6.28248905153252e-06	Tspan3	0.0116065037205392	0.0190914814125058	TSPAN3
TYROBP	4.55587563423506	6.11817465515565e-09	Tyrobp	0.0606027261555671	6.02283548533367e-08	TYROBP
UBE2L6	0.593927299663346	4.89464352630627e-05	Ube2l6	0.441994004484091	3.92289693711042e-99	UBE2L6
USP18	1.2178824181091	0.00348197090013898	Usp18	0.00769854360880915	0.046301126965371	USP18
ZBTB20	0.711954117563432	0.00415254740888389	Zbtb20	0.0378527717092929	0.0026227139558267	ZBTB20
