Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	nalm6_.avg_log2FC	nalm6_.p_adj	nalm6_.gene
IFI16	1.91606091653377	5.95848539688499e-07	Ifi214	0.00378825007887085	0.0206829036176147	IFI16
IFI27	1.381799474264	1.40466305470325e-57	Ifi27	0.0275172564413025	1.22922798277072e-06	IFI27
IFI44	5.29363582491246	6.4683197737928e-08	Ifi44	0.018244884428173	6.40048792211341e-05	IFI44
IFIT1	1.38003502054355	7.93515702748203e-16	Ifit1bl1	0.0108519195193467	0.0430471623079678	IFIT1
IL2RB	3.86559874147724	3.17414477974178e-15	Il2rb	0.0101559089608361	4.4270733565239e-05	IL2RB
IRF1	1.58936398596645	2.35707242246011e-15	Irf1	0.00673995544010675	0.00665978346225053	IRF1
IRF7	2.00856246122109	0.000480329459448347	Irf7	0.0142460061161206	0.0181639467937752	IRF7
ISG15	0.964368338065789	1.01917275322382e-05	Isg15	0.0533322264719564	2.34636819190905e-08	ISG15
ISG20	1.0309157781584	1.25263565404634e-09	Isg20	0.0117451434230267	0.0420570836781936	ISG20
KLRB1	1.67027135566175	0.00467967029452235	Klrb1c	0.0160568164935299	8.58415686875542e-05	KLRB1
MYH10	-0.827983123631465	9.54293111710512e-09	Myh10	0.03186641676095	0.000164855715541779	MYH10
NKG7	4.07338792955117	2.63293111659752e-11	Nkg7	0.081916311845419	5.64826178819896e-10	NKG7
NLRC5	1.23151361595023	6.65588235686233e-19	Nlrc5	0.0126178665264393	0.0304628475167585	NLRC5
NLRP3	0.993967762703944	0.000854536163114035	Nlrp3	0.00793232507227527	0.0233157813811664	NLRP3
NRXN2	0.867898507631896	1.03282346554631e-19	Nrxn2	-0.00593227646697577	0.00927737134601298	NRXN2
OAS1	1.16838307079652	3.28642079364419e-05	Oas1a	0.00945345587318313	0.0215454971129221	OAS1
OAS3	1.85070830226467	4.21193878090129e-09	Oas3	0.0251310970212215	2.68886932496853e-06	OAS3
OSR2	-0.6932124221559	0.0257787213964622	Osr2	0.0180156196880826	0.00854196256531993	OSR2
PARP14	0.965148103336247	8.50302361952318e-07	Parp14	0.0467955091933567	1.13529379045031e-05	PARP14
PCBD1	-0.867732490597144	3.0648955261137e-10	Pcbd1	-0.0225317615641225	0.00819529411001031	PCBD1
PHF11	1.17008701856064	7.00751746955262e-23	Phf11b	0.0076558797284173	0.00576726974751499	PHF11
PRF1	3.08364790448232	2.48147178152674e-10	Prf1	0.0155546460451724	0.00012514500584946	PRF1
PRTN3	0.980662562576585	0.0267478369141821	Prtn3	-0.319278478048967	3.02069320943337e-72	PRTN3
PSMB9	0.897901302137876	1.13902958983746e-10	Psmb9	0.0306061514350355	1.44593591165383e-06	PSMB9
PTMS	0.697601065833427	1.02109782420122e-06	Ptms	-0.016095533922455	0.0359474291835696	PTMS
SLFN11	0.842077555159465	0.000105945730473283	Slfn8	0.00928866709332765	0.00593894016685226	SLFN11
SP140	0.695732231757199	2.85256252806246e-07	Sp140	0.00366639852992783	0.0297013159447949	SP140
SPP1	1.47857631066529	0.000160811564281755	Spp1	0.0922061240821602	1.64125110089187e-09	SPP1
STAT1	1.88656181916535	7.96056754872482e-32	Stat1	0.0714804865879491	5.84185077722505e-12	STAT1
TAP1	0.863371729000844	3.11292292254248e-36	Tap1	0.0163928047404719	0.00181879248005191	TAP1
TMEM69	-0.98403484921825	0.0142767144071098	Tmem69	0.0245968435066336	0.000417750113292242	TMEM69
TNFSF10	1.06154714577425	2.37290417499565e-05	Tnfsf10	0.017654746482856	6.49358467609739e-06	TNFSF10
TOR3A	0.610301708646768	0.0187538785592548	Tor3a	0.0092773448011399	0.0118167831735126	TOR3A
TYROBP	1.75121180947647	1.01876249525727e-05	Tyrobp	0.0222483466754897	0.00275719376660289	TYROBP
UBE2L6	0.892468205531993	1.19242374914513e-13	Ube2l6	0.0236435018378788	0.00028460000245832	UBE2L6
