Sample	command
S_32_0_S115948	fastp --thread 4 --in1 data_processed/fastq/S_32_0_S115948.fastq.gz --out1 data_processed/fastq_trimmed/S_32_0_S115948_trimmed.fastq.gz --html reports/QC_fastp/S_32_0_S115948_fastp.html --json reports/QC_fastp/S_32_0_S115948_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_33_0_S115951	fastp --thread 4 --in1 data_processed/fastq/S_33_0_S115951.fastq.gz --out1 data_processed/fastq_trimmed/S_33_0_S115951_trimmed.fastq.gz --html reports/QC_fastp/S_33_0_S115951_fastp.html --json reports/QC_fastp/S_33_0_S115951_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_34_0_S106463	fastp --thread 4 --in1 data_processed/fastq/S_34_0_S106463.fastq.gz --out1 data_processed/fastq_trimmed/S_34_0_S106463_trimmed.fastq.gz --html reports/QC_fastp/S_34_0_S106463_fastp.html --json reports/QC_fastp/S_34_0_S106463_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_34_0_S115950	fastp --thread 4 --in1 data_processed/fastq/S_34_0_S115950.fastq.gz --out1 data_processed/fastq_trimmed/S_34_0_S115950_trimmed.fastq.gz --html reports/QC_fastp/S_34_0_S115950_fastp.html --json reports/QC_fastp/S_34_0_S115950_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_35_0_S106466	fastp --thread 4 --in1 data_processed/fastq/S_35_0_S106466.fastq.gz --out1 data_processed/fastq_trimmed/S_35_0_S106466_trimmed.fastq.gz --html reports/QC_fastp/S_35_0_S106466_fastp.html --json reports/QC_fastp/S_35_0_S106466_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_35_0_S115953	fastp --thread 4 --in1 data_processed/fastq/S_35_0_S115953.fastq.gz --out1 data_processed/fastq_trimmed/S_35_0_S115953_trimmed.fastq.gz --html reports/QC_fastp/S_35_0_S115953_fastp.html --json reports/QC_fastp/S_35_0_S115953_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_36_0_S106465	fastp --thread 4 --in1 data_processed/fastq/S_36_0_S106465.fastq.gz --out1 data_processed/fastq_trimmed/S_36_0_S106465_trimmed.fastq.gz --html reports/QC_fastp/S_36_0_S106465_fastp.html --json reports/QC_fastp/S_36_0_S106465_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_36_0_S115952	fastp --thread 4 --in1 data_processed/fastq/S_36_0_S115952.fastq.gz --out1 data_processed/fastq_trimmed/S_36_0_S115952_trimmed.fastq.gz --html reports/QC_fastp/S_36_0_S115952_fastp.html --json reports/QC_fastp/S_36_0_S115952_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_37_0_S106468	fastp --thread 4 --in1 data_processed/fastq/S_37_0_S106468.fastq.gz --out1 data_processed/fastq_trimmed/S_37_0_S106468_trimmed.fastq.gz --html reports/QC_fastp/S_37_0_S106468_fastp.html --json reports/QC_fastp/S_37_0_S106468_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_37_0_S115955	fastp --thread 4 --in1 data_processed/fastq/S_37_0_S115955.fastq.gz --out1 data_processed/fastq_trimmed/S_37_0_S115955_trimmed.fastq.gz --html reports/QC_fastp/S_37_0_S115955_fastp.html --json reports/QC_fastp/S_37_0_S115955_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_38_0_S106467	fastp --thread 4 --in1 data_processed/fastq/S_38_0_S106467.fastq.gz --out1 data_processed/fastq_trimmed/S_38_0_S106467_trimmed.fastq.gz --html reports/QC_fastp/S_38_0_S106467_fastp.html --json reports/QC_fastp/S_38_0_S106467_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_38_0_S115954	fastp --thread 4 --in1 data_processed/fastq/S_38_0_S115954.fastq.gz --out1 data_processed/fastq_trimmed/S_38_0_S115954_trimmed.fastq.gz --html reports/QC_fastp/S_38_0_S115954_fastp.html --json reports/QC_fastp/S_38_0_S115954_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_39_0_S106470	fastp --thread 4 --in1 data_processed/fastq/S_39_0_S106470.fastq.gz --out1 data_processed/fastq_trimmed/S_39_0_S106470_trimmed.fastq.gz --html reports/QC_fastp/S_39_0_S106470_fastp.html --json reports/QC_fastp/S_39_0_S106470_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_39_0_S115957	fastp --thread 4 --in1 data_processed/fastq/S_39_0_S115957.fastq.gz --out1 data_processed/fastq_trimmed/S_39_0_S115957_trimmed.fastq.gz --html reports/QC_fastp/S_39_0_S115957_fastp.html --json reports/QC_fastp/S_39_0_S115957_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_3_0_S115921	fastp --thread 4 --in1 data_processed/fastq/S_3_0_S115921.fastq.gz --out1 data_processed/fastq_trimmed/S_3_0_S115921_trimmed.fastq.gz --html reports/QC_fastp/S_3_0_S115921_fastp.html --json reports/QC_fastp/S_3_0_S115921_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_40_0_S106469	fastp --thread 4 --in1 data_processed/fastq/S_40_0_S106469.fastq.gz --out1 data_processed/fastq_trimmed/S_40_0_S106469_trimmed.fastq.gz --html reports/QC_fastp/S_40_0_S106469_fastp.html --json reports/QC_fastp/S_40_0_S106469_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_40_0_S115956	fastp --thread 4 --in1 data_processed/fastq/S_40_0_S115956.fastq.gz --out1 data_processed/fastq_trimmed/S_40_0_S115956_trimmed.fastq.gz --html reports/QC_fastp/S_40_0_S115956_fastp.html --json reports/QC_fastp/S_40_0_S115956_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_41_0_S106472	fastp --thread 4 --in1 data_processed/fastq/S_41_0_S106472.fastq.gz --out1 data_processed/fastq_trimmed/S_41_0_S106472_trimmed.fastq.gz --html reports/QC_fastp/S_41_0_S106472_fastp.html --json reports/QC_fastp/S_41_0_S106472_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_42_0_S106471	fastp --thread 4 --in1 data_processed/fastq/S_42_0_S106471.fastq.gz --out1 data_processed/fastq_trimmed/S_42_0_S106471_trimmed.fastq.gz --html reports/QC_fastp/S_42_0_S106471_fastp.html --json reports/QC_fastp/S_42_0_S106471_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_43_0_S106474	fastp --thread 4 --in1 data_processed/fastq/S_43_0_S106474.fastq.gz --out1 data_processed/fastq_trimmed/S_43_0_S106474_trimmed.fastq.gz --html reports/QC_fastp/S_43_0_S106474_fastp.html --json reports/QC_fastp/S_43_0_S106474_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_44_0_S106473	fastp --thread 4 --in1 data_processed/fastq/S_44_0_S106473.fastq.gz --out1 data_processed/fastq_trimmed/S_44_0_S106473_trimmed.fastq.gz --html reports/QC_fastp/S_44_0_S106473_fastp.html --json reports/QC_fastp/S_44_0_S106473_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_45_0_S106476	fastp --thread 4 --in1 data_processed/fastq/S_45_0_S106476.fastq.gz --out1 data_processed/fastq_trimmed/S_45_0_S106476_trimmed.fastq.gz --html reports/QC_fastp/S_45_0_S106476_fastp.html --json reports/QC_fastp/S_45_0_S106476_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_46_0_S106475	fastp --thread 4 --in1 data_processed/fastq/S_46_0_S106475.fastq.gz --out1 data_processed/fastq_trimmed/S_46_0_S106475_trimmed.fastq.gz --html reports/QC_fastp/S_46_0_S106475_fastp.html --json reports/QC_fastp/S_46_0_S106475_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_47_0_S106478	fastp --thread 4 --in1 data_processed/fastq/S_47_0_S106478.fastq.gz --out1 data_processed/fastq_trimmed/S_47_0_S106478_trimmed.fastq.gz --html reports/QC_fastp/S_47_0_S106478_fastp.html --json reports/QC_fastp/S_47_0_S106478_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_48_0_S106477	fastp --thread 4 --in1 data_processed/fastq/S_48_0_S106477.fastq.gz --out1 data_processed/fastq_trimmed/S_48_0_S106477_trimmed.fastq.gz --html reports/QC_fastp/S_48_0_S106477_fastp.html --json reports/QC_fastp/S_48_0_S106477_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_49_0_S106480	fastp --thread 4 --in1 data_processed/fastq/S_49_0_S106480.fastq.gz --out1 data_processed/fastq_trimmed/S_49_0_S106480_trimmed.fastq.gz --html reports/QC_fastp/S_49_0_S106480_fastp.html --json reports/QC_fastp/S_49_0_S106480_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_4_0_S106446	fastp --thread 4 --in1 data_processed/fastq/S_4_0_S106446.fastq.gz --out1 data_processed/fastq_trimmed/S_4_0_S106446_trimmed.fastq.gz --html reports/QC_fastp/S_4_0_S106446_fastp.html --json reports/QC_fastp/S_4_0_S106446_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_4_0_S115920	fastp --thread 4 --in1 data_processed/fastq/S_4_0_S115920.fastq.gz --out1 data_processed/fastq_trimmed/S_4_0_S115920_trimmed.fastq.gz --html reports/QC_fastp/S_4_0_S115920_fastp.html --json reports/QC_fastp/S_4_0_S115920_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_50_0_S106479	fastp --thread 4 --in1 data_processed/fastq/S_50_0_S106479.fastq.gz --out1 data_processed/fastq_trimmed/S_50_0_S106479_trimmed.fastq.gz --html reports/QC_fastp/S_50_0_S106479_fastp.html --json reports/QC_fastp/S_50_0_S106479_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_51_0_S106482	fastp --thread 4 --in1 data_processed/fastq/S_51_0_S106482.fastq.gz --out1 data_processed/fastq_trimmed/S_51_0_S106482_trimmed.fastq.gz --html reports/QC_fastp/S_51_0_S106482_fastp.html --json reports/QC_fastp/S_51_0_S106482_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_52_0_S106481	fastp --thread 4 --in1 data_processed/fastq/S_52_0_S106481.fastq.gz --out1 data_processed/fastq_trimmed/S_52_0_S106481_trimmed.fastq.gz --html reports/QC_fastp/S_52_0_S106481_fastp.html --json reports/QC_fastp/S_52_0_S106481_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_53_0_S106484	fastp --thread 4 --in1 data_processed/fastq/S_53_0_S106484.fastq.gz --out1 data_processed/fastq_trimmed/S_53_0_S106484_trimmed.fastq.gz --html reports/QC_fastp/S_53_0_S106484_fastp.html --json reports/QC_fastp/S_53_0_S106484_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_54_0_S106483	fastp --thread 4 --in1 data_processed/fastq/S_54_0_S106483.fastq.gz --out1 data_processed/fastq_trimmed/S_54_0_S106483_trimmed.fastq.gz --html reports/QC_fastp/S_54_0_S106483_fastp.html --json reports/QC_fastp/S_54_0_S106483_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_55_0_S106486	fastp --thread 4 --in1 data_processed/fastq/S_55_0_S106486.fastq.gz --out1 data_processed/fastq_trimmed/S_55_0_S106486_trimmed.fastq.gz --html reports/QC_fastp/S_55_0_S106486_fastp.html --json reports/QC_fastp/S_55_0_S106486_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_56_0_S106485	fastp --thread 4 --in1 data_processed/fastq/S_56_0_S106485.fastq.gz --out1 data_processed/fastq_trimmed/S_56_0_S106485_trimmed.fastq.gz --html reports/QC_fastp/S_56_0_S106485_fastp.html --json reports/QC_fastp/S_56_0_S106485_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_57_0_S106488	fastp --thread 4 --in1 data_processed/fastq/S_57_0_S106488.fastq.gz --out1 data_processed/fastq_trimmed/S_57_0_S106488_trimmed.fastq.gz --html reports/QC_fastp/S_57_0_S106488_fastp.html --json reports/QC_fastp/S_57_0_S106488_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_58_0_S106487	fastp --thread 4 --in1 data_processed/fastq/S_58_0_S106487.fastq.gz --out1 data_processed/fastq_trimmed/S_58_0_S106487_trimmed.fastq.gz --html reports/QC_fastp/S_58_0_S106487_fastp.html --json reports/QC_fastp/S_58_0_S106487_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_59_0_S106490	fastp --thread 4 --in1 data_processed/fastq/S_59_0_S106490.fastq.gz --out1 data_processed/fastq_trimmed/S_59_0_S106490_trimmed.fastq.gz --html reports/QC_fastp/S_59_0_S106490_fastp.html --json reports/QC_fastp/S_59_0_S106490_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_5_0_S106448	fastp --thread 4 --in1 data_processed/fastq/S_5_0_S106448.fastq.gz --out1 data_processed/fastq_trimmed/S_5_0_S106448_trimmed.fastq.gz --html reports/QC_fastp/S_5_0_S106448_fastp.html --json reports/QC_fastp/S_5_0_S106448_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_5_0_S115923	fastp --thread 4 --in1 data_processed/fastq/S_5_0_S115923.fastq.gz --out1 data_processed/fastq_trimmed/S_5_0_S115923_trimmed.fastq.gz --html reports/QC_fastp/S_5_0_S115923_fastp.html --json reports/QC_fastp/S_5_0_S115923_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_60_0_S106489	fastp --thread 4 --in1 data_processed/fastq/S_60_0_S106489.fastq.gz --out1 data_processed/fastq_trimmed/S_60_0_S106489_trimmed.fastq.gz --html reports/QC_fastp/S_60_0_S106489_fastp.html --json reports/QC_fastp/S_60_0_S106489_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_61_0_S106492	fastp --thread 4 --in1 data_processed/fastq/S_61_0_S106492.fastq.gz --out1 data_processed/fastq_trimmed/S_61_0_S106492_trimmed.fastq.gz --html reports/QC_fastp/S_61_0_S106492_fastp.html --json reports/QC_fastp/S_61_0_S106492_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_62_0_S106491	fastp --thread 4 --in1 data_processed/fastq/S_62_0_S106491.fastq.gz --out1 data_processed/fastq_trimmed/S_62_0_S106491_trimmed.fastq.gz --html reports/QC_fastp/S_62_0_S106491_fastp.html --json reports/QC_fastp/S_62_0_S106491_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_63_0_S106494	fastp --thread 4 --in1 data_processed/fastq/S_63_0_S106494.fastq.gz --out1 data_processed/fastq_trimmed/S_63_0_S106494_trimmed.fastq.gz --html reports/QC_fastp/S_63_0_S106494_fastp.html --json reports/QC_fastp/S_63_0_S106494_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_64_0_S106493	fastp --thread 4 --in1 data_processed/fastq/S_64_0_S106493.fastq.gz --out1 data_processed/fastq_trimmed/S_64_0_S106493_trimmed.fastq.gz --html reports/QC_fastp/S_64_0_S106493_fastp.html --json reports/QC_fastp/S_64_0_S106493_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_65_0_S106496	fastp --thread 4 --in1 data_processed/fastq/S_65_0_S106496.fastq.gz --out1 data_processed/fastq_trimmed/S_65_0_S106496_trimmed.fastq.gz --html reports/QC_fastp/S_65_0_S106496_fastp.html --json reports/QC_fastp/S_65_0_S106496_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_66_0_S106495	fastp --thread 4 --in1 data_processed/fastq/S_66_0_S106495.fastq.gz --out1 data_processed/fastq_trimmed/S_66_0_S106495_trimmed.fastq.gz --html reports/QC_fastp/S_66_0_S106495_fastp.html --json reports/QC_fastp/S_66_0_S106495_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_67_0_S106498	fastp --thread 4 --in1 data_processed/fastq/S_67_0_S106498.fastq.gz --out1 data_processed/fastq_trimmed/S_67_0_S106498_trimmed.fastq.gz --html reports/QC_fastp/S_67_0_S106498_fastp.html --json reports/QC_fastp/S_67_0_S106498_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_68_0_S106497	fastp --thread 4 --in1 data_processed/fastq/S_68_0_S106497.fastq.gz --out1 data_processed/fastq_trimmed/S_68_0_S106497_trimmed.fastq.gz --html reports/QC_fastp/S_68_0_S106497_fastp.html --json reports/QC_fastp/S_68_0_S106497_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_69_0_S106500	fastp --thread 4 --in1 data_processed/fastq/S_69_0_S106500.fastq.gz --out1 data_processed/fastq_trimmed/S_69_0_S106500_trimmed.fastq.gz --html reports/QC_fastp/S_69_0_S106500_fastp.html --json reports/QC_fastp/S_69_0_S106500_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_6_0_S106447	fastp --thread 4 --in1 data_processed/fastq/S_6_0_S106447.fastq.gz --out1 data_processed/fastq_trimmed/S_6_0_S106447_trimmed.fastq.gz --html reports/QC_fastp/S_6_0_S106447_fastp.html --json reports/QC_fastp/S_6_0_S106447_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_6_0_S115922	fastp --thread 4 --in1 data_processed/fastq/S_6_0_S115922.fastq.gz --out1 data_processed/fastq_trimmed/S_6_0_S115922_trimmed.fastq.gz --html reports/QC_fastp/S_6_0_S115922_fastp.html --json reports/QC_fastp/S_6_0_S115922_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_70_0_S106499	fastp --thread 4 --in1 data_processed/fastq/S_70_0_S106499.fastq.gz --out1 data_processed/fastq_trimmed/S_70_0_S106499_trimmed.fastq.gz --html reports/QC_fastp/S_70_0_S106499_fastp.html --json reports/QC_fastp/S_70_0_S106499_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_71_0_S106502	fastp --thread 4 --in1 data_processed/fastq/S_71_0_S106502.fastq.gz --out1 data_processed/fastq_trimmed/S_71_0_S106502_trimmed.fastq.gz --html reports/QC_fastp/S_71_0_S106502_fastp.html --json reports/QC_fastp/S_71_0_S106502_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_72_0_S106501	fastp --thread 4 --in1 data_processed/fastq/S_72_0_S106501.fastq.gz --out1 data_processed/fastq_trimmed/S_72_0_S106501_trimmed.fastq.gz --html reports/QC_fastp/S_72_0_S106501_fastp.html --json reports/QC_fastp/S_72_0_S106501_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_73_0_S106504	fastp --thread 4 --in1 data_processed/fastq/S_73_0_S106504.fastq.gz --out1 data_processed/fastq_trimmed/S_73_0_S106504_trimmed.fastq.gz --html reports/QC_fastp/S_73_0_S106504_fastp.html --json reports/QC_fastp/S_73_0_S106504_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_74_0_S106503	fastp --thread 4 --in1 data_processed/fastq/S_74_0_S106503.fastq.gz --out1 data_processed/fastq_trimmed/S_74_0_S106503_trimmed.fastq.gz --html reports/QC_fastp/S_74_0_S106503_fastp.html --json reports/QC_fastp/S_74_0_S106503_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_75_0_S106506	fastp --thread 4 --in1 data_processed/fastq/S_75_0_S106506.fastq.gz --out1 data_processed/fastq_trimmed/S_75_0_S106506_trimmed.fastq.gz --html reports/QC_fastp/S_75_0_S106506_fastp.html --json reports/QC_fastp/S_75_0_S106506_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_76_0_S106505	fastp --thread 4 --in1 data_processed/fastq/S_76_0_S106505.fastq.gz --out1 data_processed/fastq_trimmed/S_76_0_S106505_trimmed.fastq.gz --html reports/QC_fastp/S_76_0_S106505_fastp.html --json reports/QC_fastp/S_76_0_S106505_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_77_0_S106508	fastp --thread 4 --in1 data_processed/fastq/S_77_0_S106508.fastq.gz --out1 data_processed/fastq_trimmed/S_77_0_S106508_trimmed.fastq.gz --html reports/QC_fastp/S_77_0_S106508_fastp.html --json reports/QC_fastp/S_77_0_S106508_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_78_0_S106507	fastp --thread 4 --in1 data_processed/fastq/S_78_0_S106507.fastq.gz --out1 data_processed/fastq_trimmed/S_78_0_S106507_trimmed.fastq.gz --html reports/QC_fastp/S_78_0_S106507_fastp.html --json reports/QC_fastp/S_78_0_S106507_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_79_0_S106510	fastp --thread 4 --in1 data_processed/fastq/S_79_0_S106510.fastq.gz --out1 data_processed/fastq_trimmed/S_79_0_S106510_trimmed.fastq.gz --html reports/QC_fastp/S_79_0_S106510_fastp.html --json reports/QC_fastp/S_79_0_S106510_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_7_0_S106450	fastp --thread 4 --in1 data_processed/fastq/S_7_0_S106450.fastq.gz --out1 data_processed/fastq_trimmed/S_7_0_S106450_trimmed.fastq.gz --html reports/QC_fastp/S_7_0_S106450_fastp.html --json reports/QC_fastp/S_7_0_S106450_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_7_0_S115925	fastp --thread 4 --in1 data_processed/fastq/S_7_0_S115925.fastq.gz --out1 data_processed/fastq_trimmed/S_7_0_S115925_trimmed.fastq.gz --html reports/QC_fastp/S_7_0_S115925_fastp.html --json reports/QC_fastp/S_7_0_S115925_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_80_0_S106509	fastp --thread 4 --in1 data_processed/fastq/S_80_0_S106509.fastq.gz --out1 data_processed/fastq_trimmed/S_80_0_S106509_trimmed.fastq.gz --html reports/QC_fastp/S_80_0_S106509_fastp.html --json reports/QC_fastp/S_80_0_S106509_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_81_0_S106512	fastp --thread 4 --in1 data_processed/fastq/S_81_0_S106512.fastq.gz --out1 data_processed/fastq_trimmed/S_81_0_S106512_trimmed.fastq.gz --html reports/QC_fastp/S_81_0_S106512_fastp.html --json reports/QC_fastp/S_81_0_S106512_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_82_0_S106511	fastp --thread 4 --in1 data_processed/fastq/S_82_0_S106511.fastq.gz --out1 data_processed/fastq_trimmed/S_82_0_S106511_trimmed.fastq.gz --html reports/QC_fastp/S_82_0_S106511_fastp.html --json reports/QC_fastp/S_82_0_S106511_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_83_0_S106514	fastp --thread 4 --in1 data_processed/fastq/S_83_0_S106514.fastq.gz --out1 data_processed/fastq_trimmed/S_83_0_S106514_trimmed.fastq.gz --html reports/QC_fastp/S_83_0_S106514_fastp.html --json reports/QC_fastp/S_83_0_S106514_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_84_0_S106513	fastp --thread 4 --in1 data_processed/fastq/S_84_0_S106513.fastq.gz --out1 data_processed/fastq_trimmed/S_84_0_S106513_trimmed.fastq.gz --html reports/QC_fastp/S_84_0_S106513_fastp.html --json reports/QC_fastp/S_84_0_S106513_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_85_0_S106516	fastp --thread 4 --in1 data_processed/fastq/S_85_0_S106516.fastq.gz --out1 data_processed/fastq_trimmed/S_85_0_S106516_trimmed.fastq.gz --html reports/QC_fastp/S_85_0_S106516_fastp.html --json reports/QC_fastp/S_85_0_S106516_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_86_0_S106515	fastp --thread 4 --in1 data_processed/fastq/S_86_0_S106515.fastq.gz --out1 data_processed/fastq_trimmed/S_86_0_S106515_trimmed.fastq.gz --html reports/QC_fastp/S_86_0_S106515_fastp.html --json reports/QC_fastp/S_86_0_S106515_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_87_0_S106518	fastp --thread 4 --in1 data_processed/fastq/S_87_0_S106518.fastq.gz --out1 data_processed/fastq_trimmed/S_87_0_S106518_trimmed.fastq.gz --html reports/QC_fastp/S_87_0_S106518_fastp.html --json reports/QC_fastp/S_87_0_S106518_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_88_0_S106517	fastp --thread 4 --in1 data_processed/fastq/S_88_0_S106517.fastq.gz --out1 data_processed/fastq_trimmed/S_88_0_S106517_trimmed.fastq.gz --html reports/QC_fastp/S_88_0_S106517_fastp.html --json reports/QC_fastp/S_88_0_S106517_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_89_0_S106520	fastp --thread 4 --in1 data_processed/fastq/S_89_0_S106520.fastq.gz --out1 data_processed/fastq_trimmed/S_89_0_S106520_trimmed.fastq.gz --html reports/QC_fastp/S_89_0_S106520_fastp.html --json reports/QC_fastp/S_89_0_S106520_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_8_0_S106449	fastp --thread 4 --in1 data_processed/fastq/S_8_0_S106449.fastq.gz --out1 data_processed/fastq_trimmed/S_8_0_S106449_trimmed.fastq.gz --html reports/QC_fastp/S_8_0_S106449_fastp.html --json reports/QC_fastp/S_8_0_S106449_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_8_0_S115924	fastp --thread 4 --in1 data_processed/fastq/S_8_0_S115924.fastq.gz --out1 data_processed/fastq_trimmed/S_8_0_S115924_trimmed.fastq.gz --html reports/QC_fastp/S_8_0_S115924_fastp.html --json reports/QC_fastp/S_8_0_S115924_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_90_0_S106519	fastp --thread 4 --in1 data_processed/fastq/S_90_0_S106519.fastq.gz --out1 data_processed/fastq_trimmed/S_90_0_S106519_trimmed.fastq.gz --html reports/QC_fastp/S_90_0_S106519_fastp.html --json reports/QC_fastp/S_90_0_S106519_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_91_0_S106522	fastp --thread 4 --in1 data_processed/fastq/S_91_0_S106522.fastq.gz --out1 data_processed/fastq_trimmed/S_91_0_S106522_trimmed.fastq.gz --html reports/QC_fastp/S_91_0_S106522_fastp.html --json reports/QC_fastp/S_91_0_S106522_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_92_0_S106521	fastp --thread 4 --in1 data_processed/fastq/S_92_0_S106521.fastq.gz --out1 data_processed/fastq_trimmed/S_92_0_S106521_trimmed.fastq.gz --html reports/QC_fastp/S_92_0_S106521_fastp.html --json reports/QC_fastp/S_92_0_S106521_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_93_0_S106524	fastp --thread 4 --in1 data_processed/fastq/S_93_0_S106524.fastq.gz --out1 data_processed/fastq_trimmed/S_93_0_S106524_trimmed.fastq.gz --html reports/QC_fastp/S_93_0_S106524_fastp.html --json reports/QC_fastp/S_93_0_S106524_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_94_0_S106523	fastp --thread 4 --in1 data_processed/fastq/S_94_0_S106523.fastq.gz --out1 data_processed/fastq_trimmed/S_94_0_S106523_trimmed.fastq.gz --html reports/QC_fastp/S_94_0_S106523_fastp.html --json reports/QC_fastp/S_94_0_S106523_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_95_0_S106526	fastp --thread 4 --in1 data_processed/fastq/S_95_0_S106526.fastq.gz --out1 data_processed/fastq_trimmed/S_95_0_S106526_trimmed.fastq.gz --html reports/QC_fastp/S_95_0_S106526_fastp.html --json reports/QC_fastp/S_95_0_S106526_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
S_96_0_S106525	fastp --thread 4 --in1 data_processed/fastq/S_96_0_S106525.fastq.gz --out1 data_processed/fastq_trimmed/S_96_0_S106525_trimmed.fastq.gz --html reports/QC_fastp/S_96_0_S106525_fastp.html --json reports/QC_fastp/S_96_0_S106525_fastp.json --qualified_quality_phred 15 --overrepresentation_analysis 
