library_name	title	experiment	cell_line	time	time_point	treatment	processed_data_file 	raw_file_1	raw_file_2
S_20_0_S106455	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.4, rep_2	 EXP_9.4	D	Day 10	timepoint_2	Tumor_plus_NK	S_20_0_S106455_quant.sf	BSF_1117_HMV5NBBXY_7#S_20_0_S106455.bam	BSF_1117_HMV5NBBXY_8#S_20_0_S106455.bam
S_21_0_S106458	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.4, rep_3	 EXP_9.4	D	Day 10	timepoint_2	Tumor_plus_NK	S_21_0_S106458_quant.sf	BSF_1117_HMV5NBBXY_7#S_21_0_S106458.bam	BSF_1117_HMV5NBBXY_8#S_21_0_S106458.bam
S_25_0_S106457	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.4, rep_1	 EXP_9.4	C	Day 4	timepoint_1	Tumor_plus_NK	S_25_0_S106457_quant.sf	BSF_1117_HMV5NBBXY_7#S_25_0_S106457.bam	BSF_1117_HMV5NBBXY_8#S_25_0_S106457.bam
S_26_0_S106460	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.4, rep_2	 EXP_9.4	C	Day 4	timepoint_1	Tumor_plus_NK	S_26_0_S106460_quant.sf	BSF_1117_HMV5NBBXY_7#S_26_0_S106460.bam	BSF_1117_HMV5NBBXY_8#S_26_0_S106460.bam
S_27_0_S106459	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.4, rep_3	 EXP_9.4	C	Day 4	timepoint_1	Tumor_plus_NK	S_27_0_S106459_quant.sf	BSF_1117_HMV5NBBXY_7#S_27_0_S106459.bam	BSF_1117_HMV5NBBXY_8#S_27_0_S106459.bam
S_28_0_S106462	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.4, rep_1	 EXP_9.4	D	Day 4	timepoint_1	Tumor_plus_NK	S_28_0_S106462_quant.sf	BSF_1117_HMV5NBBXY_7#S_28_0_S106462.bam	BSF_1117_HMV5NBBXY_8#S_28_0_S106462.bam
S_29_0_S106461	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.4, rep_2	 EXP_9.4	D	Day 4	timepoint_1	Tumor_plus_NK	S_29_0_S106461_quant.sf	BSF_1117_HMV5NBBXY_7#S_29_0_S106461.bam	BSF_1117_HMV5NBBXY_8#S_29_0_S106461.bam
S_30_0_S106464	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.4, rep_3	 EXP_9.4	D	Day 4	timepoint_1	Tumor_plus_NK	S_30_0_S106464_quant.sf	BSF_1117_HMV5NBBXY_7#S_30_0_S106464.bam	BSF_1117_HMV5NBBXY_8#S_30_0_S106464.bam
S_34_0_S106463	Tumor_only, Cell_line_A, timepoint_1, EXP_9.5, rep_1	 EXP_9.5	A	Day 4	timepoint_1	Tumor_only	S_34_0_S106463_quant.sf	BSF_1117_HMV5NBBXY_7#S_34_0_S106463.bam	BSF_1117_HMV5NBBXY_8#S_34_0_S106463.bam
S_35_0_S106466	Tumor_only, Cell_line_A, timepoint_1, EXP_9.5, rep_2	 EXP_9.5	A	Day 4	timepoint_1	Tumor_only	S_35_0_S106466_quant.sf	BSF_1117_HMV5NBBXY_7#S_35_0_S106466.bam	BSF_1117_HMV5NBBXY_8#S_35_0_S106466.bam
S_36_0_S106465	Tumor_only, Cell_line_A, timepoint_1, EXP_9.5, rep_3	 EXP_9.5	A	Day 4	timepoint_1	Tumor_only	S_36_0_S106465_quant.sf	BSF_1117_HMV5NBBXY_7#S_36_0_S106465.bam	BSF_1117_HMV5NBBXY_8#S_36_0_S106465.bam
S_37_0_S106468	Tumor_only, Cell_line_B, timepoint_1, EXP_9.5, rep_1	 EXP_9.5	B	Day 4	timepoint_1	Tumor_only	S_37_0_S106468_quant.sf	BSF_1117_HMV5NBBXY_7#S_37_0_S106468.bam	BSF_1117_HMV5NBBXY_8#S_37_0_S106468.bam
S_38_0_S106467	Tumor_only, Cell_line_B, timepoint_1, EXP_9.5, rep_2	 EXP_9.5	B	Day 4	timepoint_1	Tumor_only	S_38_0_S106467_quant.sf	BSF_1117_HMV5NBBXY_7#S_38_0_S106467.bam	BSF_1117_HMV5NBBXY_8#S_38_0_S106467.bam
S_39_0_S106470	Tumor_only, Cell_line_B, timepoint_1, EXP_9.5, rep_3	 EXP_9.5	B	Day 4	timepoint_1	Tumor_only	S_39_0_S106470_quant.sf	BSF_1117_HMV5NBBXY_7#S_39_0_S106470.bam	BSF_1117_HMV5NBBXY_8#S_39_0_S106470.bam
S_40_0_S106469	Tumor_only, Cell_line_C, timepoint_1, EXP_9.5, rep_1	 EXP_9.5	C	Day 4	timepoint_1	Tumor_only	S_40_0_S106469_quant.sf	BSF_1117_HMV5NBBXY_7#S_40_0_S106469.bam	BSF_1117_HMV5NBBXY_8#S_40_0_S106469.bam
S_41_0_S106472	Tumor_only, Cell_line_C, timepoint_1, EXP_9.5, rep_2	 EXP_9.5	C	Day 4	timepoint_1	Tumor_only	S_41_0_S106472_quant.sf	BSF_1117_HMV5NBBXY_7#S_41_0_S106472.bam	BSF_1117_HMV5NBBXY_8#S_41_0_S106472.bam
S_42_0_S106471	Tumor_only, Cell_line_C, timepoint_1, EXP_9.5, rep_3	 EXP_9.5	C	Day 4	timepoint_1	Tumor_only	S_42_0_S106471_quant.sf	BSF_1117_HMV5NBBXY_7#S_42_0_S106471.bam	BSF_1117_HMV5NBBXY_8#S_42_0_S106471.bam
S_43_0_S106474	Tumor_only, Cell_line_D, timepoint_1, EXP_9.5, rep_1	 EXP_9.5	D	Day 4	timepoint_1	Tumor_only	S_43_0_S106474_quant.sf	BSF_1117_HMV5NBBXY_7#S_43_0_S106474.bam	BSF_1117_HMV5NBBXY_8#S_43_0_S106474.bam
S_44_0_S106473	Tumor_only, Cell_line_D, timepoint_1, EXP_9.5, rep_2	 EXP_9.5	D	Day 4	timepoint_1	Tumor_only	S_44_0_S106473_quant.sf	BSF_1117_HMV5NBBXY_7#S_44_0_S106473.bam	BSF_1117_HMV5NBBXY_8#S_44_0_S106473.bam
S_45_0_S106476	Tumor_only, Cell_line_D, timepoint_1, EXP_9.5, rep_3	 EXP_9.5	D	Day 4	timepoint_1	Tumor_only	S_45_0_S106476_quant.sf	BSF_1117_HMV5NBBXY_7#S_45_0_S106476.bam	BSF_1117_HMV5NBBXY_8#S_45_0_S106476.bam
S_46_0_S106475	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.5, rep_1	 EXP_9.5	A	Day 4	timepoint_1	Tumor_plus_NK	S_46_0_S106475_quant.sf	BSF_1117_HMV5NBBXY_7#S_46_0_S106475.bam	BSF_1117_HMV5NBBXY_8#S_46_0_S106475.bam
S_47_0_S106478	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.5, rep_2	 EXP_9.5	A	Day 4	timepoint_1	Tumor_plus_NK	S_47_0_S106478_quant.sf	BSF_1117_HMV5NBBXY_7#S_47_0_S106478.bam	BSF_1117_HMV5NBBXY_8#S_47_0_S106478.bam
S_48_0_S106477	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.5, rep_3	 EXP_9.5	A	Day 4	timepoint_1	Tumor_plus_NK	S_48_0_S106477_quant.sf	BSF_1117_HMV5NBBXY_7#S_48_0_S106477.bam	BSF_1117_HMV5NBBXY_8#S_48_0_S106477.bam
S_49_0_S106480	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.5, rep_1	 EXP_9.5	B	Day 4	timepoint_1	Tumor_plus_NK	S_49_0_S106480_quant.sf	BSF_1117_HMV5NBBXY_7#S_49_0_S106480.bam	BSF_1117_HMV5NBBXY_8#S_49_0_S106480.bam
S_50_0_S106479	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.5, rep_2	 EXP_9.5	B	Day 4	timepoint_1	Tumor_plus_NK	S_50_0_S106479_quant.sf	BSF_1117_HMV5NBBXY_7#S_50_0_S106479.bam	BSF_1117_HMV5NBBXY_8#S_50_0_S106479.bam
S_51_0_S106482	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.5, rep_3	 EXP_9.5	B	Day 4	timepoint_1	Tumor_plus_NK	S_51_0_S106482_quant.sf	BSF_1117_HMV5NBBXY_7#S_51_0_S106482.bam	BSF_1117_HMV5NBBXY_8#S_51_0_S106482.bam
S_52_0_S106481	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.5, rep_1	 EXP_9.5	C	Day 4	timepoint_1	Tumor_plus_NK	S_52_0_S106481_quant.sf	BSF_1117_HMV5NBBXY_7#S_52_0_S106481.bam	BSF_1117_HMV5NBBXY_8#S_52_0_S106481.bam
S_53_0_S106484	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.5, rep_2	 EXP_9.5	C	Day 4	timepoint_1	Tumor_plus_NK	S_53_0_S106484_quant.sf	BSF_1117_HMV5NBBXY_7#S_53_0_S106484.bam	BSF_1117_HMV5NBBXY_8#S_53_0_S106484.bam
S_54_0_S106483	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.5, rep_3	 EXP_9.5	C	Day 4	timepoint_1	Tumor_plus_NK	S_54_0_S106483_quant.sf	BSF_1117_HMV5NBBXY_7#S_54_0_S106483.bam	BSF_1117_HMV5NBBXY_8#S_54_0_S106483.bam
S_55_0_S106486	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.5, rep_1	 EXP_9.5	D	Day 4	timepoint_1	Tumor_plus_NK	S_55_0_S106486_quant.sf	BSF_1117_HMV5NBBXY_7#S_55_0_S106486.bam	BSF_1117_HMV5NBBXY_8#S_55_0_S106486.bam
S_56_0_S106485	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.5, rep_2	 EXP_9.5	D	Day 4	timepoint_1	Tumor_plus_NK	S_56_0_S106485_quant.sf	BSF_1117_HMV5NBBXY_7#S_56_0_S106485.bam	BSF_1117_HMV5NBBXY_8#S_56_0_S106485.bam
S_57_0_S106488	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.5, rep_3	 EXP_9.5	D	Day 4	timepoint_1	Tumor_plus_NK	S_57_0_S106488_quant.sf	BSF_1117_HMV5NBBXY_7#S_57_0_S106488.bam	BSF_1117_HMV5NBBXY_8#S_57_0_S106488.bam
S_58_0_S106487	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.5, rep_1	 EXP_9.5	A	Day 10	timepoint_2	Tumor_plus_NK	S_58_0_S106487_quant.sf	BSF_1117_HMV5NBBXY_7#S_58_0_S106487.bam	BSF_1117_HMV5NBBXY_8#S_58_0_S106487.bam
S_59_0_S106490	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.5, rep_2	 EXP_9.5	A	Day 10	timepoint_2	Tumor_plus_NK	S_59_0_S106490_quant.sf	BSF_1117_HMV5NBBXY_7#S_59_0_S106490.bam	BSF_1117_HMV5NBBXY_8#S_59_0_S106490.bam
S_60_0_S106489	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.5, rep_3	 EXP_9.5	A	Day 10	timepoint_2	Tumor_plus_NK	S_60_0_S106489_quant.sf	BSF_1117_HMV5NBBXY_7#S_60_0_S106489.bam	BSF_1117_HMV5NBBXY_8#S_60_0_S106489.bam
S_61_0_S106492	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.5, rep_1	 EXP_9.5	B	Day 10	timepoint_2	Tumor_plus_NK	S_61_0_S106492_quant.sf	BSF_1117_HMV5NBBXY_7#S_61_0_S106492.bam	BSF_1117_HMV5NBBXY_8#S_61_0_S106492.bam
S_62_0_S106491	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.5, rep_2	 EXP_9.5	B	Day 10	timepoint_2	Tumor_plus_NK	S_62_0_S106491_quant.sf	BSF_1117_HMV5NBBXY_7#S_62_0_S106491.bam	BSF_1117_HMV5NBBXY_8#S_62_0_S106491.bam
S_63_0_S106494	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.5, rep_3	 EXP_9.5	B	Day 10	timepoint_2	Tumor_plus_NK	S_63_0_S106494_quant.sf	BSF_1117_HMV5NBBXY_7#S_63_0_S106494.bam	BSF_1117_HMV5NBBXY_8#S_63_0_S106494.bam
S_64_0_S106493	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.5, rep_1	 EXP_9.5	C	Day 10	timepoint_2	Tumor_plus_NK	S_64_0_S106493_quant.sf	BSF_1117_HMV5NBBXY_7#S_64_0_S106493.bam	BSF_1117_HMV5NBBXY_8#S_64_0_S106493.bam
S_65_0_S106496	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.5, rep_2	 EXP_9.5	C	Day 10	timepoint_2	Tumor_plus_NK	S_65_0_S106496_quant.sf	BSF_1117_HMV5NBBXY_7#S_65_0_S106496.bam	BSF_1117_HMV5NBBXY_8#S_65_0_S106496.bam
S_66_0_S106495	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.5, rep_3	 EXP_9.5	C	Day 10	timepoint_2	Tumor_plus_NK	S_66_0_S106495_quant.sf	BSF_1117_HMV5NBBXY_7#S_66_0_S106495.bam	BSF_1117_HMV5NBBXY_8#S_66_0_S106495.bam
S_67_0_S106498	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.5, rep_1	 EXP_9.5	D	Day 10	timepoint_2	Tumor_plus_NK	S_67_0_S106498_quant.sf	BSF_1117_HMV5NBBXY_7#S_67_0_S106498.bam	BSF_1117_HMV5NBBXY_8#S_67_0_S106498.bam
S_68_0_S106497	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.5, rep_2	 EXP_9.5	D	Day 10	timepoint_2	Tumor_plus_NK	S_68_0_S106497_quant.sf	BSF_1117_HMV5NBBXY_7#S_68_0_S106497.bam	BSF_1117_HMV5NBBXY_8#S_68_0_S106497.bam
S_69_0_S106500	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.5, rep_3	 EXP_9.5	D	Day 10	timepoint_2	Tumor_plus_NK	S_69_0_S106500_quant.sf	BSF_1117_HMV5NBBXY_7#S_69_0_S106500.bam	BSF_1117_HMV5NBBXY_8#S_69_0_S106500.bam
S_70_0_S106499	Tumor_only, Cell_line_A, timepoint_1, EXP_9.6, rep_1	 EXP_9.6	A	Day 4	timepoint_1	Tumor_only	S_70_0_S106499_quant.sf	BSF_1117_HMV5NBBXY_7#S_70_0_S106499.bam	BSF_1117_HMV5NBBXY_8#S_70_0_S106499.bam
S_71_0_S106502	Tumor_only, Cell_line_A, timepoint_1, EXP_9.6, rep_2	 EXP_9.6	A	Day 4	timepoint_1	Tumor_only	S_71_0_S106502_quant.sf	BSF_1117_HMV5NBBXY_7#S_71_0_S106502.bam	BSF_1117_HMV5NBBXY_8#S_71_0_S106502.bam
S_72_0_S106501	Tumor_only, Cell_line_A, timepoint_1, EXP_9.6, rep_3	 EXP_9.6	A	Day 4	timepoint_1	Tumor_only	S_72_0_S106501_quant.sf	BSF_1117_HMV5NBBXY_7#S_72_0_S106501.bam	BSF_1117_HMV5NBBXY_8#S_72_0_S106501.bam
S_73_0_S106504	Tumor_only, Cell_line_B, timepoint_1, EXP_9.6, rep_1	 EXP_9.6	B	Day 4	timepoint_1	Tumor_only	S_73_0_S106504_quant.sf	BSF_1117_HMV5NBBXY_7#S_73_0_S106504.bam	BSF_1117_HMV5NBBXY_8#S_73_0_S106504.bam
S_74_0_S106503	Tumor_only, Cell_line_B, timepoint_1, EXP_9.6, rep_2	 EXP_9.6	B	Day 4	timepoint_1	Tumor_only	S_74_0_S106503_quant.sf	BSF_1117_HMV5NBBXY_7#S_74_0_S106503.bam	BSF_1117_HMV5NBBXY_8#S_74_0_S106503.bam
S_75_0_S106506	Tumor_only, Cell_line_B, timepoint_1, EXP_9.6, rep_3	 EXP_9.6	B	Day 4	timepoint_1	Tumor_only	S_75_0_S106506_quant.sf	BSF_1117_HMV5NBBXY_7#S_75_0_S106506.bam	BSF_1117_HMV5NBBXY_8#S_75_0_S106506.bam
S_76_0_S106505	Tumor_only, Cell_line_C, timepoint_1, EXP_9.6, rep_1	 EXP_9.6	C	Day 4	timepoint_1	Tumor_only	S_76_0_S106505_quant.sf	BSF_1117_HMV5NBBXY_7#S_76_0_S106505.bam	BSF_1117_HMV5NBBXY_8#S_76_0_S106505.bam
S_77_0_S106508	Tumor_only, Cell_line_C, timepoint_1, EXP_9.6, rep_2	 EXP_9.6	C	Day 4	timepoint_1	Tumor_only	S_77_0_S106508_quant.sf	BSF_1117_HMV5NBBXY_7#S_77_0_S106508.bam	BSF_1117_HMV5NBBXY_8#S_77_0_S106508.bam
S_78_0_S106507	Tumor_only, Cell_line_C, timepoint_1, EXP_9.6, rep_3	 EXP_9.6	C	Day 4	timepoint_1	Tumor_only	S_78_0_S106507_quant.sf	BSF_1117_HMV5NBBXY_7#S_78_0_S106507.bam	BSF_1117_HMV5NBBXY_8#S_78_0_S106507.bam
S_79_0_S106510	Tumor_only, Cell_line_D, timepoint_1, EXP_9.6, rep_1	 EXP_9.6	D	Day 4	timepoint_1	Tumor_only	S_79_0_S106510_quant.sf	BSF_1117_HMV5NBBXY_7#S_79_0_S106510.bam	BSF_1117_HMV5NBBXY_8#S_79_0_S106510.bam
S_80_0_S106509	Tumor_only, Cell_line_D, timepoint_1, EXP_9.6, rep_2	 EXP_9.6	D	Day 4	timepoint_1	Tumor_only	S_80_0_S106509_quant.sf	BSF_1117_HMV5NBBXY_7#S_80_0_S106509.bam	BSF_1117_HMV5NBBXY_8#S_80_0_S106509.bam
S_81_0_S106512	Tumor_only, Cell_line_D, timepoint_1, EXP_9.6, rep_3	 EXP_9.6	D	Day 4	timepoint_1	Tumor_only	S_81_0_S106512_quant.sf	BSF_1117_HMV5NBBXY_7#S_81_0_S106512.bam	BSF_1117_HMV5NBBXY_8#S_81_0_S106512.bam
S_82_0_S106511	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.6, rep_1	 EXP_9.6	A	Day 4	timepoint_1	Tumor_plus_NK	S_82_0_S106511_quant.sf	BSF_1117_HMV5NBBXY_7#S_82_0_S106511.bam	BSF_1117_HMV5NBBXY_8#S_82_0_S106511.bam
S_83_0_S106514	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.6, rep_2	 EXP_9.6	A	Day 4	timepoint_1	Tumor_plus_NK	S_83_0_S106514_quant.sf	BSF_1117_HMV5NBBXY_7#S_83_0_S106514.bam	BSF_1117_HMV5NBBXY_8#S_83_0_S106514.bam
S_84_0_S106513	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.6, rep_3	 EXP_9.6	A	Day 4	timepoint_1	Tumor_plus_NK	S_84_0_S106513_quant.sf	BSF_1117_HMV5NBBXY_7#S_84_0_S106513.bam	BSF_1117_HMV5NBBXY_8#S_84_0_S106513.bam
S_85_0_S106516	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.6, rep_1	 EXP_9.6	B	Day 4	timepoint_1	Tumor_plus_NK	S_85_0_S106516_quant.sf	BSF_1117_HMV5NBBXY_7#S_85_0_S106516.bam	BSF_1117_HMV5NBBXY_8#S_85_0_S106516.bam
S_86_0_S106515	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.6, rep_2	 EXP_9.6	B	Day 4	timepoint_1	Tumor_plus_NK	S_86_0_S106515_quant.sf	BSF_1117_HMV5NBBXY_7#S_86_0_S106515.bam	BSF_1117_HMV5NBBXY_8#S_86_0_S106515.bam
S_87_0_S106518	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.6, rep_3	 EXP_9.6	B	Day 4	timepoint_1	Tumor_plus_NK	S_87_0_S106518_quant.sf	BSF_1117_HMV5NBBXY_7#S_87_0_S106518.bam	BSF_1117_HMV5NBBXY_8#S_87_0_S106518.bam
S_88_0_S106517	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.6, rep_1	 EXP_9.6	C	Day 4	timepoint_1	Tumor_plus_NK	S_88_0_S106517_quant.sf	BSF_1117_HMV5NBBXY_7#S_88_0_S106517.bam	BSF_1117_HMV5NBBXY_8#S_88_0_S106517.bam
S_89_0_S106520	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.6, rep_2	 EXP_9.6	C	Day 4	timepoint_1	Tumor_plus_NK	S_89_0_S106520_quant.sf	BSF_1117_HMV5NBBXY_7#S_89_0_S106520.bam	BSF_1117_HMV5NBBXY_8#S_89_0_S106520.bam
S_90_0_S106519	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.6, rep_3	 EXP_9.6	C	Day 4	timepoint_1	Tumor_plus_NK	S_90_0_S106519_quant.sf	BSF_1117_HMV5NBBXY_7#S_90_0_S106519.bam	BSF_1117_HMV5NBBXY_8#S_90_0_S106519.bam
S_91_0_S106522	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.6, rep_1	 EXP_9.6	D	Day 4	timepoint_1	Tumor_plus_NK	S_91_0_S106522_quant.sf	BSF_1117_HMV5NBBXY_7#S_91_0_S106522.bam	BSF_1117_HMV5NBBXY_8#S_91_0_S106522.bam
S_92_0_S106521	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.6, rep_2	 EXP_9.6	D	Day 4	timepoint_1	Tumor_plus_NK	S_92_0_S106521_quant.sf	BSF_1117_HMV5NBBXY_7#S_92_0_S106521.bam	BSF_1117_HMV5NBBXY_8#S_92_0_S106521.bam
S_93_0_S106524	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.6, rep_3	 EXP_9.6	D	Day 4	timepoint_1	Tumor_plus_NK	S_93_0_S106524_quant.sf	BSF_1117_HMV5NBBXY_7#S_93_0_S106524.bam	BSF_1117_HMV5NBBXY_8#S_93_0_S106524.bam
S_94_0_S106523	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.6, rep_1	 EXP_9.6	A	Day 14	timepoint_2	Tumor_plus_NK	S_94_0_S106523_quant.sf	BSF_1117_HMV5NBBXY_7#S_94_0_S106523.bam	BSF_1117_HMV5NBBXY_8#S_94_0_S106523.bam
S_95_0_S106526	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.6, rep_2	 EXP_9.6	A	Day 14	timepoint_2	Tumor_plus_NK	S_95_0_S106526_quant.sf	BSF_1117_HMV5NBBXY_7#S_95_0_S106526.bam	BSF_1117_HMV5NBBXY_8#S_95_0_S106526.bam
S_96_0_S106525	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.6, rep_3	 EXP_9.6	A	Day 14	timepoint_2	Tumor_plus_NK	S_96_0_S106525_quant.sf	BSF_1117_HMV5NBBXY_7#S_96_0_S106525.bam	BSF_1117_HMV5NBBXY_8#S_96_0_S106525.bam
S_97_0_S106528	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.6, rep_1	 EXP_9.6	B	Day 14	timepoint_2	Tumor_plus_NK	S_97_0_S106528_quant.sf	BSF_1117_HMV5NBBXY_7#S_97_0_S106528.bam	BSF_1117_HMV5NBBXY_8#S_97_0_S106528.bam
S_98_0_S106527	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.6, rep_2	 EXP_9.6	B	Day 14	timepoint_2	Tumor_plus_NK	S_98_0_S106527_quant.sf	BSF_1117_HMV5NBBXY_7#S_98_0_S106527.bam	BSF_1117_HMV5NBBXY_8#S_98_0_S106527.bam
S_99_0_S106530	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.6, rep_3	 EXP_9.6	B	Day 14	timepoint_2	Tumor_plus_NK	S_99_0_S106530_quant.sf	BSF_1117_HMV5NBBXY_7#S_99_0_S106530.bam	BSF_1117_HMV5NBBXY_8#S_99_0_S106530.bam
S_100_0_S106529	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.6, rep_1	 EXP_9.6	C	Day 14	timepoint_2	Tumor_plus_NK	S_100_0_S106529_quant.sf	BSF_1117_HMV5NBBXY_7#S_100_0_S106529.bam	BSF_1117_HMV5NBBXY_8#S_100_0_S106529.bam
S_101_0_S106532	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.6, rep_2	 EXP_9.6	C	Day 14	timepoint_2	Tumor_plus_NK	S_101_0_S106532_quant.sf	BSF_1117_HMV5NBBXY_7#S_101_0_S106532.bam	BSF_1117_HMV5NBBXY_8#S_101_0_S106532.bam
