Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	nalm6_.avg_log2FC	nalm6_.p_adj	nalm6_.gene
NKG7	4.28665572071454	3.47994371386959e-21	Nkg7	0.081916311845419	5.64826178819896e-10	NKG7
NLRC5	1.23777328465106	6.77826408542982e-35	Nlrc5	0.0126178665264393	0.0304628475167585	NLRC5
NLRP3	0.797384834210512	0.000127038330203012	Nlrp3	0.00793232507227527	0.0233157813811664	NLRP3
NRXN2	0.915503960827844	2.17621501320712e-41	Nrxn2	-0.00593227646697577	0.00927737134601298	NRXN2
OAS1	1.62964968326358	2.56302638140777e-10	Oas1a	0.00945345587318313	0.0215454971129221	OAS1
OAS3	1.96180481173526	1.26946759769413e-14	Oas3	0.0251310970212215	2.68886932496853e-06	OAS3
PARP14	1.06998914045763	3.1182224866096e-14	Parp14	0.0467955091933567	1.13529379045031e-05	PARP14
PCBD1	-0.657801484501591	1.12911584469151e-10	Pcbd1	-0.0225317615641225	0.00819529411001031	PCBD1
PHF11	1.23532075760123	9.77217149730079e-39	Phf11b	0.0076558797284173	0.00576726974751499	PHF11
PRF1	2.94404510349451	5.24789924662072e-15	Prf1	0.0155546460451724	0.00012514500584946	PRF1
PSMB9	0.763010734521377	3.56409089555445e-15	Psmb9	0.0306061514350355	1.44593591165383e-06	PSMB9
PTK2	-0.637523040900317	1.91114876509224e-05	Ptk2	0.0233239716597221	0.000240150434193559	PTK2
PTMS	0.889847878869517	3.62552777065103e-17	Ptms	-0.016095533922455	0.0359474291835696	PTMS
RSAD2	1.41887390770555	0.00266346992687645	Rsad2	0.0111549385233688	1.95011022128448e-05	RSAD2
SATB1	-0.838961594115976	0.0211617863767601	Satb1	-0.0417932191093079	0.0103088521233725	SATB1
SCCPDH	-0.708697127600684	0.0169405099433831	Sccpdh	-0.0132257094538342	0.0423462685328066	SCCPDH
SERPINB9	3.39739511002759	0.000922395070149225	Serpinb9b	0.0136567353019456	0.027057786600526	SERPINB9
SLC18B1	-0.647732666690516	0.0457540699000295	Slc18b1	0.0108703855947398	0.0342283771592903	SLC18B1
SLFN11	0.651794122642705	2.42255601775673e-05	Slfn8	0.00928866709332765	0.00593894016685226	SLFN11
SPA17	-1.00792788781468	0.020434903799841	Spa17	0.0126360894998712	0.0210102942275776	SPA17
SPP1	0.919702423956971	0.000673302292927225	Spp1	0.0922061240821602	1.64125110089187e-09	SPP1
STAT1	1.98731281772569	1.05183041758349e-57	Stat1	0.0714804865879491	5.84185077722505e-12	STAT1
SYNE1	0.672306687391692	0.000289016794635357	Syne1	0.0309914096875491	0.000657114734200141	SYNE1
TAP1	0.824521780484409	1.25238489056101e-48	Tap1	0.0163928047404719	0.00181879248005191	TAP1
TNFSF10	1.22647823336006	4.15830650958011e-12	Tnfsf10	0.017654746482856	6.49358467609739e-06	TNFSF10
TRIB2	-1.62371407954509	1.57186102440617e-05	Trib2	0.0129619417472368	0.0257153896936547	TRIB2
TYROBP	2.21049302603028	1.1374636237093e-09	Tyrobp	0.0222483466754897	0.00275719376660289	TYROBP
UACA	-1.34443326195636	8.79210171229602e-08	Uaca	0.0206250334081209	0.00196048090711104	UACA
UBE2L6	0.793212104352676	7.29915981423472e-17	Ube2l6	0.0236435018378788	0.00028460000245832	UBE2L6
