Mouse_.Hum_homlg_gene	Mouse_.log2FoldChange	Mouse_.padj	Mouse_.mgi_symbol	rchacv_.avg_log2FC	rchacv_.p_adj	rchacv_.gene
ISG15	0.958207136290762	3.09793821495267e-10	Isg15	0.123096196863324	6.83508372320659e-11	ISG15
ISG20	1.02103589525843	1.30513702288828e-18	Isg20	0.0363280491840729	0.000771634460539343	ISG20
ITGA1	1.02688730750722	0.0461073270807196	Itga1	0.0295965896566948	1.49619259333734e-08	ITGA1
ITGB7	1.17409949654884	0.00166979667154264	Itgb7	0.0240912534104381	0.0289075167722386	ITGB7
KLRB1	1.30889220885233	0.000133611358753625	Klrb1c	0.0322285829042362	1.39131019306146e-10	KLRB1
KLRC1	4.88021593180819	3.65262675904312e-05	Klrc2	0.0215134843790859	9.03556616563128e-07	KLRC1
KLRD1	0.730726151396871	0.0270630767288757	Klrd1	0.0331134813446869	1.88315459142634e-10	KLRD1
KMO	0.604156069920909	7.91662572599315e-05	Kmo	0.0427111210127911	0.00134515871727455	KMO
LGALS3BP	3.31425610193933	5.13805264430955e-100	Lgals3bp	0.228594131404815	6.21900954727113e-38	LGALS3BP
LY75	1.15941968119544	1.71092557647953e-43	Ly75	0.0396834663234887	0.000863956340738151	LY75
LYZ	0.954894679974949	7.65781913179872e-06	Lyz2	0.068826917534074	7.10139419154686e-05	LYZ
NCF1	1.79903602728037	1.65370284636828e-33	Ncf1	0.0826968956650033	3.53075012245377e-13	NCF1
NKG7	4.28665572071454	3.47994371386959e-21	Nkg7	0.211525123905039	1.36636932571144e-29	NKG7
NLRC5	1.23777328465106	6.77826408542982e-35	Nlrc5	0.131987344634386	5.34464115260072e-17	NLRC5
OAS1	1.62964968326358	2.56302638140777e-10	Oas1a	0.0156617973949338	0.00814699929959111	OAS1
OAS3	1.96180481173526	1.26946759769413e-14	Oas3	0.0338204036953434	0.000331038773859787	OAS3
OASL	4.28733298566538	0.000392613263907576	Oasl1	0.0113074982006606	0.000259160367669323	OASL
P2RX7	-0.747862725811897	0.000370999005857995	P2rx7	0.0157803863186256	0.0117276028999246	P2RX7
PARP12	2.07952246486725	7.82422688394793e-07	Parp12	0.0326240857582242	0.00171959821323798	PARP12
PARP14	1.06998914045763	3.1182224866096e-14	Parp14	0.178247193152368	1.17165703399819e-20	PARP14
PEA15	-0.612286521895591	0.0384287071025391	Pea15a	0.0303777030899455	0.0133999912884238	PEA15
PHF11	1.23532075760123	9.77217149730079e-39	Phf11b	0.0213023438255723	0.0172607829777217	PHF11
PRDM1	0.963889185178423	0.00352035427541078	Prdm1	0.0213082080931607	0.00209639600801843	PRDM1
PRF1	2.94404510349451	5.24789924662072e-15	Prf1	0.0428354188307735	3.85155284561614e-12	PRF1
PSMB9	0.763010734521377	3.56409089555445e-15	Psmb9	0.842712255202448	2.85375127012693e-250	PSMB9
PTK2	-0.637523040900317	1.91114876509224e-05	Ptk2	0.0321110866648874	0.0087753673864915	PTK2
RNF213	2.886025592997	6.55570923275179e-12	Rnf213	0.0733862305782828	1.25531849991172e-06	RNF213
RTP4	3.70567998471613	1.48614620634944e-61	Rtp4	0.0402519665339025	0.00018137838632609	RTP4
S100A4	0.713093230719412	0.00881841649878437	S100a4	-0.164025902033873	0.00101381386746967	S100A4
SCCPDH	-0.708697127600684	0.0169405099433831	Sccpdh	0.107873691163608	2.68990928855212e-07	SCCPDH
SIRPA	-0.617025934069129	3.37769983631704e-05	Sirpa	0.0175824871669815	0.042369191250346	SIRPA
STAT1	1.98731281772569	1.05183041758349e-57	Stat1	0.398902444378064	7.04279188083986e-84	STAT1
SYNE1	0.672306687391692	0.000289016794635357	Syne1	0.0298037793569673	0.0134641713659036	SYNE1
TAP1	0.824521780484409	1.25238489056101e-48	Tap1	0.373805034376503	2.50602108849672e-89	TAP1
TGFB3	0.592493033029152	8.43757897471887e-09	Tgfb3	0.0102820360662383	0.00557655045939776	TGFB3
TMSB15A	4.02033939681188	0.000270205915801626	Tmsb15a	-0.122969794297062	0.0422812789341461	TMSB15A
TNFSF10	1.22647823336006	4.15830650958011e-12	Tnfsf10	0.0131167383192322	0.0242026689199456	TNFSF10
TRIM21	0.582252722335454	3.36658302784864e-05	Trim21	0.0254241447927163	0.0127906489206045	TRIM21
TYROBP	2.21049302603028	1.1374636237093e-09	Tyrobp	0.0606027261555671	6.02283548533367e-08	TYROBP
UBE2L6	0.793212104352676	7.29915981423472e-17	Ube2l6	0.441994004484091	3.92289693711042e-99	UBE2L6
USP18	2.06105654926765	1.95509422861733e-13	Usp18	0.00769854360880915	0.046301126965371	USP18
ZBTB20	0.976823648220316	2.55497321956565e-06	Zbtb20	0.0378527717092929	0.0026227139558267	ZBTB20
